SubUnitGuid,ProfileName,ClientID,OnlineProfileName,OnlineClientID,CN,ReportingListID,ClientID,Description,FieldType,Mandatory,DataType,Min,Max,SampleValue,ActualValue,DescriptionLength,NumOfCDRDropList,CDROutput,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100004,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100009,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100015,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100016,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100017,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100018,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100029,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100030,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100031,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100032,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,25818,113,Reason for Trip,4,Y,alpha,1,30,AB,NULL,15,22,FF19,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23960,113,Telephonic reason,4,Y,alpha,1,1,a,NULL,17,3,FF17,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23954,113,Travel request or RTA No,4,Y,alpha,4,5,abcd,NULL,24,0,FF11,FF78,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23955,113,Traveler office Location,4,N,alpha,1,3,ab,NULL,24,0,FF12,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23963,113,Visa Type,4,Y,character,1,8,abcd12,NULL,9,6,FF20,,
14:1BB84,CSCDEL,113,NULL,NULL,3021100034,23959,113,WBS Code,4,Y,character,8,20,abcd1234,NULL,8,0,FF16,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23965,113,Billable or Non Billable,4,Y,alpha,8,12,abcdefgh,NULL,24,2,FF76,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23961,113,Company Code,3,Y,character,4,4,abc2,NULL,12,0,FF18,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23573,113,ETS Booked,4,Y,alpha,2,3,YES,NULL,10,2,FF82,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23575,113,Hotel Offered,4,Y,alpha,2,2,OA,NULL,13,7,FF87,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23964,113,Incident ID,4,Y,character,0,9,abc12,NULL,11,0,FF74,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23574,113,Offshore Query ID,4,N,character,NULL,NULL,NULL,NULL,17,0,FF83,,
14:1BB84,CSCDEL,113,NULL,NULL,3021300001,23958,113,Pernr or Employee ID,3,Y,character,1,10,abc123,NULL,20,0,FF15,FF25,
